YearMonth,Altres,Cura personal,Festivitats,Gadgets,Llar,Oci i Cultura
2020-12,2,1,10,2,10,1
2021-01,6,4,0,1,7,8
2021-02,1,2,0,1,7,4
2021-03,3,0,0,0,2,12
2021-04,2,1,0,0,2,16
2021-05,4,7,0,1,9,6
2021-06,2,5,0,2,8,6
2021-07,0,2,0,2,8,2
2021-08,0,8,0,0,5,3
2021-09,3,4,0,7,6,1
2021-10,1,2,2,0,13,0
2021-11,1,3,1,2,11,0
2021-12,2,1,28,1,2,0
2022-01,1,1,0,0,5,1
2022-02,0,0,0,0,5,0
2022-03,0,0,0,0,5,2
2022-04,0,1,0,0,3,0
2022-05,0,0,0,0,3,0
2022-06,0,1,0,0,1,2
2022-07,0,0,0,0,2,0
2022-08,0,0,0,0,1,0
2022-09,0,0,0,0,3,0
2022-10,0,1,0,0,4,0
2022-11,0,0,0,0,2,0
2022-12,1,0,26,0,2,0
2023-01,0,0,0,0,3,0
2023-02,0,0,0,0,1,2
2023-03,1,2,0,0,8,4
2023-04,0,1,0,0,3,0
2023-05,0,0,0,0,7,2
2023-06,0,4,0,0,3,1
2023-07,0,1,0,0,2,1
2023-08,0,0,0,0,2,1
2023-09,0,3,0,1,8,0
2023-10,0,2,7,0,8,0
2023-11,1,1,3,0,13,0
2023-12,1,0,25,0,0,0
2024-01,0,1,1,1,4,0
2024-02,0,1,0,1,6,0
2024-03,2,1,0,0,8,2
2024-04,1,2,0,2,6,0
2024-05,2,1,0,0,7,0
2024-06,0,0,0,2,11,0
2024-07,0,1,0,0,2,3
2024-08,0,1,0,0,1,1
2024-09,0,1,0,1,3,1
2024-10,1,1,4,2,5,1
2024-11,1,0,3,1,1,0
2024-12,1,1,50,1,0,0
2025-01,2,1,0,0,3,0
2025-02,2,1,0,0,2,0
2025-03,1,0,0,1,3,6
2025-04,1,1,0,0,1,2
2025-05,2,0,0,0,2,1
2025-06,1,1,0,0,1,1
